"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.08.2023","439,64","442,46","444,18","439,53","80,11M","-0,73%"
"15.08.2023","442,89","446,27","446,64","442,30","75,71M","-1,16%"
"14.08.2023","448,11","444,70","448,11","444,38","47,87M","0,55%"
"11.08.2023","445,65","443,97","446,70","443,35","68,69M","-0,06%"
"10.08.2023","445,91","448,19","451,70","444,70","93,01M","0,04%"
"09.08.2023","445,75","449,03","449,20","444,96","78,79M","-0,67%"
"08.08.2023","448,75","448,08","450,70","445,27","71,36M","-0,43%"
"07.08.2023","450,71","448,71","450,86","447,99","58,36M","0,87%"
"04.08.2023","446,81","450,72","452,89","446,27","100,13M","-0,45%"
"03.08.2023","448,84","448,04","450,79","447,37","64,42M","-0,29%"
"02.08.2023","450,13","453,25","453,52","449,35","93,93M","-1,39%"
"01.08.2023","456,48","456,27","457,25","455,49","55,50M","-0,29%"
"31.07.2023","457,79","457,41","458,16","456,05","62,04M","0,19%"
"28.07.2023","456,92","455,88","457,78","452,49","80,01M","0,98%"
"27.07.2023","452,49","459,02","459,44","451,55","92,19M","-0,66%"
"26.07.2023","455,51","454,47","456,99","453,38","71,05M","0,02%"
"25.07.2023","455,44","453,92","456,73","453,87","55,19M","0,27%"
"24.07.2023","454,20","453,37","455,04","452,30","54,02M","0,45%"
"21.07.2023","452,18","453,96","454,17","452,17","71,28M","0,00%"
"20.07.2023","452,18","454,17","455,10","451,44","70,59M","-0,66%"
"19.07.2023","455,20","455,01","456,43","454,11","65,89M","0,22%"
"18.07.2023","454,19","450,50","454,86","450,05","80,74M","0,74%"
"17.07.2023","450,84","449,13","451,93","449,08","52,68M","0,35%"
"14.07.2023","449,28","450,48","451,36","448,49","69,82M","-0,06%"
"13.07.2023","449,56","447,90","450,38","447,45","72,43M","0,79%"
"12.07.2023","446,02","446,39","447,48","444,91","91,92M","0,80%"
"11.07.2023","442,46","440,45","442,97","439,44","64,46M","0,64%"
"10.07.2023","439,66","438,18","439,84","437,58","62,44M","0,25%"
"07.07.2023","438,55","438,63","442,64","438,30","86,13M","-0,25%"
"06.07.2023","439,66","439,42","440,10","437,06","80,66M","-0,78%"
"05.07.2023","443,13","441,91","443,89","441,90","58,42M","-0,15%"
"03.07.2023","443,79","442,92","444,08","442,63","32,79M","0,12%"
"30.06.2023","443,28","441,44","444,30","441,11","104,96M","1,18%"
"29.06.2023","438,11","435,96","438,28","435,54","67,88M","0,39%"
"28.06.2023","436,39","435,05","437,44","434,41","75,64M","0,05%"
"27.06.2023","436,17","432,35","436,81","431,88","72,81M","1,10%"
"26.06.2023","431,44","432,62","434,61","431,19","72,82M","-0,41%"
"23.06.2023","433,21","432,93","435,06","432,47","92,07M","-0,76%"
"22.06.2023","436,51","433,95","436,62","433,60","70,64M","0,36%"
"21.06.2023","434,94","436,16","436,99","434,33","76,98M","-0,51%"
"20.06.2023","437,18","437,45","438,37","435,03","76,16M","-0,52%"
"16.06.2023","439,46","443,02","443,61","438,97","114,17M","-0,71%"
"15.06.2023","442,60","436,33","443,90","436,23","110,30M","1,24%"
"14.06.2023","437,18","437,01","439,06","433,59","100,61M","0,12%"
"13.06.2023","436,66","435,32","437,33","434,63","95,90M","0,66%"
"12.06.2023","433,80","430,92","433,88","430,17","76,26M","0,91%"
"09.06.2023","429,90","429,96","431,99","428,87","85,65M","0,18%"
"08.06.2023","429,13","426,62","429,60","425,82","61,95M","0,60%"
"07.06.2023","426,55","428,44","429,62","426,11","85,37M","-0,35%"
"06.06.2023","428,03","426,67","428,58","425,99","64,02M","0,22%"
"05.06.2023","427,10","428,28","429,67","426,37","70,32M","-0,19%"
"02.06.2023","427,92","424,50","428,74","423,95","91,43M","1,45%"
"01.06.2023","421,82","418,09","422,92","416,79","88,87M","0,95%"
"31.05.2023","417,85","418,28","419,22","416,22","110,81M","-0,55%"
"30.05.2023","420,18","422,03","422,58","418,73","72,22M","0,04%"
"26.05.2023","420,02","415,33","420,77","415,25","93,83M","1,30%"
"25.05.2023","414,65","414,74","416,16","412,41","90,96M","0,87%"
"24.05.2023","411,09","412,42","412,82","409,88","89,21M","-0,72%"
"23.05.2023","414,09","417,08","418,72","413,68","86,38M","-1,12%"
"22.05.2023","418,79","418,64","420,39","417,35","60,75M","0,04%"
"19.05.2023","418,62","420,17","420,72","417,35","103,79M","-0,15%"
"18.05.2023","419,23","414,90","419,67","414,67","97,18M","0,96%"
"17.05.2023","415,23","412,35","415,86","410,64","87,29M","1,21%"
"16.05.2023","410,25","411,86","412,82","410,24","57,71M","-0,67%"
"15.05.2023","413,01","412,22","413,43","410,23","54,29M","0,35%"
"12.05.2023","411,59","413,42","413,64","409,07","70,48M","-0,13%"
"11.05.2023","412,13","411,95","412,43","409,97","70,16M","-0,17%"
"10.05.2023","412,85","413,88","414,54","408,87","96,14M","0,47%"
"09.05.2023","410,93","411,13","412,09","410,69","49,22M","-0,44%"
"08.05.2023","412,74","412,97","413,24","411,28","50,05M","0,03%"
"05.05.2023","412,63","408,91","413,72","408,64","87,89M","1,85%"
"04.05.2023","405,13","406,93","407,27","403,74","94,90M","-0,71%"
"03.05.2023","408,02","411,36","413,87","407,77","91,53M","-0,69%"
"02.05.2023","410,84","414,77","414,82","407,82","104,00M","-1,12%"
"01.05.2023","415,51","415,47","417,62","415,27","62,12M","-0,10%"
"28.04.2023","415,93","411,49","415,94","411,43","89,43M","0,85%"
"27.04.2023","412,41","407,00","412,69","406,74","92,97M","1,99%"
"26.04.2023","404,36","406,72","407,84","403,78","80,45M","-0,42%"
"25.04.2023","406,08","410,58","411,16","406,02","97,77M","-1,59%"
"24.04.2023","412,63","411,99","413,07","410,60","64,33M","0,10%"
"21.04.2023","412,20","412,19","412,68","410,17","73,46M","0,08%"
"20.04.2023","411,88","411,21","413,70","410,27","75,84M","-0,55%"
"19.04.2023","414,14","412,22","415,08","412,16","55,23M","-0,02%"
"18.04.2023","414,21","415,58","415,72","412,78","63,56M","0,07%"
"17.04.2023","413,94","412,37","413,96","411,08","66,44M","0,36%"
"14.04.2023","412,46","412,81","415,09","410,06","78,16M","-0,24%"
"13.04.2023","413,47","409,18","413,84","407,99","85,81M","1,33%"
"12.04.2023","408,05","411,87","412,17","407,44","86,42M","-0,41%"
"11.04.2023","409,72","410,26","411,18","408,92","59,30M","0,03%"
"10.04.2023","409,61","406,61","409,69","405,97","63,68M","0,10%"
"06.04.2023","409,19","406,77","409,48","405,68","63,74M","0,39%"
"05.04.2023","407,60","407,91","408,70","405,88","65,20M","-0,26%"
"04.04.2023","408,67","411,62","411,92","407,24","66,60M","-0,55%"
"03.04.2023","410,95","408,85","411,37","408,44","67,39M","0,38%"
"31.03.2023","409,39","404,66","409,70","404,55","112,06M","1,41%"
"30.03.2023","403,70","404,09","404,35","401,76","69,84M","0,59%"
"29.03.2023","401,35","399,92","401,60","398,68","77,50M","1,45%"
"28.03.2023","395,60","395,77","396,49","393,69","62,87M","-0,22%"
"27.03.2023","396,49","398,12","398,92","395,56","74,01M","0,19%"
"24.03.2023","395,75","391,84","395,84","389,40","107,77M","0,66%"
"23.03.2023","393,17","395,09","399,29","390,35","119,35M","0,27%"
"22.03.2023","392,11","398,73","402,49","392,07","111,75M","-1,70%"
"21.03.2023","398,91","397,24","399,41","395,58","91,52M","1,31%"
"20.03.2023","393,74","390,80","394,17","390,07","93,06M","0,96%"
"17.03.2023","389,99","393,22","394,40","388,55","140,55M","-1,55%"
"16.03.2023","396,11","386,82","396,47","386,29","143,75M","1,75%"
"15.03.2023","389,28","385,89","389,49","383,71","173,00M","-0,63%"
"14.03.2023","391,73","390,50","393,45","387,05","149,75M","1,65%"
"13.03.2023","385,36","381,81","390,39","380,65","157,79M","-0,14%"
"10.03.2023","385,91","390,99","393,16","384,32","189,25M","-1,44%"
"09.03.2023","391,56","399,74","401,48","390,53","111,95M","-1,84%"
"08.03.2023","398,92","398,39","399,71","396,59","74,75M","0,16%"
"07.03.2023","398,27","404,42","404,67","397,63","108,31M","-1,53%"
"06.03.2023","404,47","405,05","407,45","404,01","72,80M","0,07%"
"03.03.2023","404,19","399,71","404,45","399,03","90,12M","1,60%"
"02.03.2023","397,81","392,68","398,69","392,33","85,40M","0,78%"
"01.03.2023","394,74","395,41","396,69","393,38","99,71M","-0,38%"
"28.02.2023","396,26","397,23","399,28","396,15","96,44M","-0,37%"
"27.02.2023","397,73","399,87","401,29","396,75","80,44M","0,34%"
"24.02.2023","396,38","395,42","397,25","393,64","108,19M","-1,07%"
"23.02.2023","400,66","401,56","402,20","396,25","96,24M","0,53%"
"22.02.2023","398,54","399,52","401,13","397,02","83,74M","-0,14%"
"21.02.2023","399,09","403,06","404,16","398,82","82,66M","-2,01%"
"17.02.2023","407,26","406,06","407,51","404,05","89,26M","-0,25%"
"16.02.2023","408,28","408,79","412,91","408,14","76,43M","-1,38%"
"15.02.2023","413,98","410,35","414,06","409,47","61,69M","0,32%"
"14.02.2023","412,64","411,24","415,05","408,51","88,39M","-0,05%"
"13.02.2023","412,83","408,72","412,97","408,24","64,91M","1,17%"
"10.02.2023","408,04","405,86","408,44","405,01","70,77M","0,23%"
"09.02.2023","407,09","414,41","414,57","405,81","78,69M","-0,87%"
"08.02.2023","410,65","413,13","414,53","409,93","76,23M","-1,09%"
"07.02.2023","415,19","408,87","416,49","407,57","90,99M","1,31%"
"06.02.2023","409,83","409,79","411,29","408,10","60,30M","-0,61%"
"03.02.2023","412,35","411,59","416,97","411,09","94,74M","-1,06%"
"02.02.2023","416,78","414,86","418,31","412,88","101,65M","1,46%"
"01.02.2023","410,80","405,21","413,67","402,35","101,46M","1,06%"
"31.01.2023","406,48","401,13","406,53","400,77","86,81M","1,47%"
"30.01.2023","400,59","402,80","405,13","400,28","74,20M","-1,25%"
"27.01.2023","405,68","403,65","408,16","403,44","68,35M","0,23%"
"26.01.2023","404,75","403,13","404,92","400,03","72,29M","1,10%"
"25.01.2023","400,35","395,95","400,70","393,56","84,80M","0,04%"
"24.01.2023","400,20","398,88","401,15","397,64","59,52M","-0,11%"
"23.01.2023","400,63","396,72","402,64","395,72","84,18M","1,20%"
"20.01.2023","395,88","390,10","396,04","388,38","91,81M","1,86%"
"19.01.2023","388,64","389,36","391,08","387,26","86,96M","-0,73%"
"18.01.2023","391,49","399,01","400,12","391,28","99,63M","-1,58%"
"17.01.2023","397,77","398,48","400,23","397,06","62,68M","-0,18%"
"13.01.2023","398,50","393,62","399,10","393,34","63,90M","0,39%"
"12.01.2023","396,96","396,67","398,48","392,42","90,16M","0,36%"
"11.01.2023","395,52","392,23","395,60","391,38","68,88M","1,26%"
"10.01.2023","390,58","387,25","390,65","386,27","65,36M","0,70%"
"09.01.2023","387,86","390,37","393,70","387,67","73,98M","-0,06%"
"06.01.2023","388,08","382,61","389,25","379,41","104,19M","2,29%"
"05.01.2023","379,38","381,72","381,84","378,76","76,97M","-1,14%"
"04.01.2023","383,76","383,18","385,88","380,00","85,93M","0,77%"
"03.01.2023","380,82","384,37","386,43","377,83","74,85M","-0,42%"
"30.12.2022","382,43","380,64","382,58","378,43","84,02M","-0,26%"
"29.12.2022","383,44","379,63","384,35","379,08","66,97M","1,80%"
"28.12.2022","376,66","381,33","383,39","376,42","70,91M","-1,24%"
"27.12.2022","381,40","382,79","383,15","379,65","51,64M","-0,39%"
"23.12.2022","382,91","379,65","383,06","378,03","59,86M","0,58%"
"22.12.2022","380,72","383,05","386,21","374,77","100,12M","-1,43%"
"21.12.2022","386,23","383,25","387,41","382,69","78,17M","1,50%"
"20.12.2022","380,54","379,23","382,23","377,85","74,43M","0,14%"
"19.12.2022","380,02","383,47","383,82","378,28","79,88M","-0,85%"
"16.12.2022","383,27","385,18","386,58","381,04","119,86M","-1,63%"
"15.12.2022","389,63","394,30","395,25","387,89","117,71M","-2,45%"
"14.12.2022","399,40","401,61","405,50","396,31","108,11M","-0,64%"
"13.12.2022","401,97","410,22","410,49","399,07","123,78M","0,76%"
"12.12.2022","398,95","394,11","398,95","393,41","75,41M","1,44%"
"09.12.2022","393,28","394,94","397,62","393,15","81,45M","-0,75%"
"08.12.2022","396,24","395,14","397,36","393,27","60,74M","0,78%"
"07.12.2022","393,16","392,94","395,64","391,97","65,93M","-0,17%"
"06.12.2022","393,83","399,42","399,99","391,64","77,97M","-1,44%"
"05.12.2022","399,59","403,95","404,93","398,17","77,29M","-1,80%"
"02.12.2022","406,91","402,25","407,86","402,14","85,34M","-0,12%"
"01.12.2022","407,38","408,77","410,00","404,75","76,40M","-0,07%"
"30.11.2022","407,68","395,49","407,68","393,48","144,57M","3,15%"
"29.11.2022","395,23","396,05","397,30","393,30","52,31M","-0,17%"
"28.11.2022","395,91","399,09","400,81","395,11","68,02M","-1,60%"
"25.11.2022","402,33","401,83","402,91","401,54","30,55M","-0,02%"
"23.11.2022","402,42","399,55","402,93","399,31","68,26M","0,63%"
"22.11.2022","399,90","396,63","400,07","395,15","60,43M","1,35%"
"21.11.2022","394,59","394,64","395,82","392,66","51,24M","-0,36%"
"18.11.2022","396,03","397,74","397,81","393,04","92,92M","0,45%"
"17.11.2022","394,24","390,46","394,95","390,14","74,50M","-0,31%"
"16.11.2022","395,45","396,78","397,78","394,79","68,51M","-0,76%"
"15.11.2022","398,49","401,15","402,31","394,49","93,19M","0,85%"
"14.11.2022","395,12","396,66","400,18","394,83","71,89M","-0,85%"
"11.11.2022","398,51","395,59","399,35","393,61","93,84M","0,97%"
"10.11.2022","394,69","388,05","395,04","385,64","141,46M","5,50%"
"09.11.2022","374,13","379,93","381,14","373,61","78,50M","-2,06%"
"08.11.2022","382,00","381,11","385,12","377,72","84,64M","0,54%"
"07.11.2022","379,95","377,71","380,57","375,53","68,29M","0,96%"
"04.11.2022","376,35","377,00","378,87","370,00","103,51M","1,44%"
"03.11.2022","371,01","371,46","374,20","368,79","87,10M","-1,03%"
"02.11.2022","374,87","383,90","388,63","374,76","126,99M","-2,51%"
"01.11.2022","384,52","390,14","390,39","383,29","85,41M","-0,44%"
"31.10.2022","386,21","386,44","388,40","385,26","96,63M","-0,72%"
"28.10.2022","389,02","379,87","389,52","379,68","100,30M","2,38%"
"27.10.2022","379,98","383,07","385,00","379,33","81,97M","-0,53%"
"26.10.2022","382,02","381,62","387,58","381,35","104,09M","-0,75%"
"25.10.2022","384,92","378,79","385,25","378,67","78,85M","1,60%"
"24.10.2022","378,87","375,89","380,06","373,11","85,44M","1,22%"
"21.10.2022","374,29","365,12","374,80","363,54","131,04M","2,43%"
"20.10.2022","365,41","368,03","372,67","364,61","88,28M","-0,84%"
"19.10.2022","368,50","368,99","371,85","365,55","79,75M","-0,71%"
"18.10.2022","371,13","375,13","375,45","367,52","97,16M","1,17%"
"17.10.2022","366,82","364,01","367,98","357,28","93,17M","2,57%"
"14.10.2022","357,63","368,55","370,26","356,96","123,74M","-2,28%"
"13.10.2022","365,97","349,20","367,51","348,11","147,25M","2,64%"
"12.10.2022","356,56","358,17","359,82","356,30","76,99M","-0,33%"
"11.10.2022","357,74","358,23","363,03","355,71","92,48M","-0,63%"
"10.10.2022","360,02","363,96","364,21","357,67","76,04M","-0,76%"
"07.10.2022","362,79","368,97","373,29","360,94","107,79M","-2,79%"
"06.10.2022","373,20","375,62","378,72","372,68","82,33M","-1,03%"
"05.10.2022","377,09","373,39","379,46","370,95","88,07M","-0,23%"
"04.10.2022","377,97","372,40","378,00","366,57","103,60M","3,10%"
"03.10.2022","366,61","361,08","368,55","359,21","89,76M","2,64%"
"30.09.2022","357,18","361,80","365,91","357,04","153,71M","-1,55%"
"29.09.2022","362,79","366,81","367,11","359,70","112,95M","-2,09%"
"28.09.2022","370,53","364,38","372,30","362,60","110,80M","1,97%"
"27.09.2022","363,38","368,02","370,40","360,87","108,29M","-0,26%"
"26.09.2022","364,31","366,41","370,21","363,03","92,58M","-0,99%"
"23.09.2022","367,95","370,58","370,62","363,29","122,35M","-1,68%"
"22.09.2022","374,22","376,58","378,30","373,44","89,47M","-0,84%"
"21.09.2022","377,39","386,11","389,31","377,38","106,75M","-1,74%"
"20.09.2022","384,09","385,06","386,12","381,20","77,27M","-1,15%"
"19.09.2022","388,55","382,26","388,55","382,18","73,28M","0,78%"
"16.09.2022","385,56","384,14","386,25","382,11","103,08M","-1,17%"
"15.09.2022","390,12","392,96","395,96","388,78","87,63M","-1,14%"
"14.09.2022","394,60","394,47","396,20","391,12","85,02M","0,38%"
"13.09.2022","393,10","401,83","403,10","391,92","122,95M","-4,35%"
"12.09.2022","410,97","408,78","411,73","408,46","69,26M","1,07%"
"09.09.2022","406,60","402,74","407,51","402,46","76,71M","1,55%"
"08.09.2022","400,38","395,39","400,86","394,12","80,82M","0,65%"
"07.09.2022","397,78","390,43","398,59","390,20","70,96M","1,80%"
"06.09.2022","390,76","393,13","394,12","388,42","76,64M","-0,38%"
"02.09.2022","392,24","400,28","401,55","390,33","99,63M","-1,05%"
"01.09.2022","396,42","392,89","396,78","390,04","78,74M","0,31%"
"31.08.2022","395,18","399,93","401,24","395,04","76,03M","-0,76%"
"30.08.2022","398,21","403,85","404,10","396,00","85,65M","-1,10%"
"29.08.2022","402,63","402,20","405,84","401,20","65,37M","-0,66%"
"26.08.2022","405,31","419,39","419,96","405,25","103,09M","-3,38%"
"25.08.2022","419,51","415,24","419,56","414,09","50,94M","1,41%"
"24.08.2022","413,67","412,11","415,11","411,39","49,18M","0,32%"
"23.08.2022","412,35","412,90","415,42","411,77","49,11M","-0,24%"
"22.08.2022","413,35","417,05","417,23","412,40","77,70M","-2,08%"
"19.08.2022","422,14","424,98","425,26","421,22","68,02M","-1,34%"
"18.08.2022","427,89","426,86","428,61","425,50","49,02M","0,29%"
"17.08.2022","426,65","425,91","429,50","424,54","63,56M","-0,71%"
"16.08.2022","429,70","427,73","431,73","426,88","59,29M","0,20%"
"15.08.2022","428,86","424,77","429,41","424,71","54,05M","0,41%"
"12.08.2022","427,10","422,03","427,21","421,03","61,69M","1,69%"
"11.08.2022","419,99","422,99","424,95","419,21","59,49M","0,00%"
"10.08.2022","419,99","418,78","420,14","416,72","68,67M","2,10%"
"09.08.2022","411,35","412,22","412,75","410,22","44,93M","-0,40%"
"08.08.2022","412,99","415,25","417,62","411,83","54,03M","-0,12%"
"05.08.2022","413,47","409,66","414,15","409,60","56,81M","-0,17%"
"04.08.2022","414,17","414,37","415,09","412,44","45,66M","-0,07%"
"03.08.2022","414,45","410,30","415,68","410,00","67,82M","1,57%"
"02.08.2022","408,06","409,12","413,00","406,82","63,44M","-0,66%"
"01.08.2022","410,77","409,15","413,41","408,40","70,00M","-0,30%"
"29.07.2022","411,99","407,58","413,03","406,77","87,00M","1,46%"
"28.07.2022","406,07","401,89","406,80","398,15","73,97M","1,25%"
"27.07.2022","401,04","394,36","402,88","394,05","82,34M","2,60%"
"26.07.2022","390,89","393,84","394,06","389,95","52,95M","-1,18%"
"25.07.2022","395,57","395,75","396,47","393,21","53,63M","0,12%"
"22.07.2022","395,09","398,92","400,18","392,75","72,20M","-0,93%"
"21.07.2022","398,79","394,16","398,84","391,63","64,90M","1,02%"
"20.07.2022","394,77","392,47","396,26","391,03","71,84M","0,64%"
"19.07.2022","392,27","386,08","392,87","385,39","78,51M","2,70%"
"18.07.2022","381,95","388,38","389,09","380,66","63,20M","-0,83%"
"15.07.2022","385,13","382,55","385,25","380,54","79,06M","1,91%"
"14.07.2022","377,91","373,61","379,05","371,04","89,70M","-0,24%"
"13.07.2022","378,83","375,10","381,92","374,66","84,22M","-0,53%"
"12.07.2022","380,83","383,65","386,16","378,99","62,22M","-0,88%"
"11.07.2022","384,23","385,85","386,87","383,50","58,37M","-1,14%"
"08.07.2022","388,67","387,27","390,64","385,66","72,40M","-0,08%"
"07.07.2022","388,99","385,12","389,83","383,27","64,53M","1,50%"
"06.07.2022","383,25","382,11","385,87","379,60","70,43M","0,34%"
"05.07.2022","381,96","375,88","381,98","372,90","81,44M","0,19%"
"01.07.2022","381,24","376,56","381,70","373,80","74,84M","1,06%"
"30.06.2022","377,25","376,24","380,66","372,56","112,51M","-0,81%"
"29.06.2022","380,34","381,23","382,27","378,42","65,68M","-0,08%"
"28.06.2022","380,65","390,23","393,16","380,53","86,69M","-2,04%"
"27.06.2022","388,59","391,05","391,36","387,44","66,01M","-0,38%"
"24.06.2022","390,08","381,40","390,09","381,36","98,05M","3,18%"
"23.06.2022","378,06","376,64","378,83","372,89","79,29M","0,98%"
"22.06.2022","374,39","370,62","378,72","370,18","90,06M","-0,18%"
"21.06.2022","375,07","371,89","376,52","371,81","76,81M","2,52%"
"17.06.2022","365,86","365,51","369,38","362,17","111,11M","-0,22%"
"16.06.2022","366,65","370,51","370,94","364,08","134,47M","-3,31%"
"15.06.2022","379,20","377,36","383,90","372,12","125,67M","1,43%"
"14.06.2022","373,87","376,85","377,94","370,59","104,01M","-0,30%"
"13.06.2022","375,00","379,85","381,81","373,30","170,00M","-3,80%"
"10.06.2022","389,80","394,88","395,78","389,75","132,89M","-2,90%"
"09.06.2022","401,44","409,34","411,74","401,44","86,29M","-2,38%"
"08.06.2022","411,22","413,93","415,82","410,38","64,35M","-1,09%"
"07.06.2022","415,74","408,10","416,22","407,61","59,27M","0,96%"
"06.06.2022","411,79","414,78","416,61","410,55","57,51M","0,30%"
"03.06.2022","410,54","412,40","414,04","409,51","71,87M","-1,64%"
"02.06.2022","417,39","409,42","417,44","407,04","79,61M","1,90%"
"01.06.2022","409,59","415,17","416,24","406,93","86,59M","-0,81%"
"31.05.2022","412,93","413,55","416,46","410,03","95,94M","-0,56%"
"27.05.2022","415,26","407,91","415,38","407,70","84,77M","2,45%"
"26.05.2022","405,31","398,67","407,04","398,45","82,17M","2,00%"
"25.05.2022","397,37","392,31","399,45","391,89","91,47M","0,88%"
"24.05.2022","393,89","392,56","395,15","386,96","91,45M","-0,76%"
"23.05.2022","396,92","392,83","397,73","390,38","76,41M","1,87%"
"20.05.2022","389,63","393,25","397,03","380,54","131,43M","0,04%"
"19.05.2022","389,46","388,62","394,14","387,11","98,51M","-0,61%"
"18.05.2022","391,86","403,50","403,80","390,55","117,67M","-4,03%"
"17.05.2022","408,32","406,53","408,57","402,58","83,03M","2,06%"
"16.05.2022","400,09","399,98","403,97","397,60","78,62M","-0,41%"
"13.05.2022","401,72","396,71","403,18","395,61","104,17M","2,39%"
"12.05.2022","392,34","389,37","395,80","385,15","125,09M","-0,10%"
"11.05.2022","392,75","398,07","404,04","391,96","142,36M","-1,59%"
"10.05.2022","399,09","404,49","406,08","394,82","132,50M","0,23%"
"09.05.2022","398,17","405,10","406,41","396,50","155,59M","-3,20%"
"06.05.2022","411,34","411,10","414,80","405,73","151,77M","-0,60%"
"05.05.2022","413,81","424,55","425,00","409,44","172,93M","-3,55%"
"04.05.2022","429,06","417,08","429,66","413,71","144,25M","3,05%"
"03.05.2022","416,38","415,01","418,93","413,36","100,03M","0,46%"
"02.05.2022","414,48","412,07","415,92","405,02","158,31M","0,60%"
"29.04.2022","412,00","423,59","425,87","411,21","145,49M","-3,70%"
"28.04.2022","427,81","422,29","429,64","417,60","105,45M","2,53%"
"27.04.2022","417,27","417,24","422,92","415,01","122,03M","0,28%"
"26.04.2022","416,10","425,83","426,04","416,07","104,00M","-2,90%"
"25.04.2022","428,51","423,67","428,69","418,84","119,65M","0,58%"
"22.04.2022","426,04","436,91","438,08","425,44","132,47M","-2,74%"
"21.04.2022","438,06","448,54","450,01","437,10","85,42M","-1,50%"
"20.04.2022","444,71","446,92","447,57","443,48","65,22M","-0,07%"
"19.04.2022","445,04","437,86","445,80","437,68","77,82M","1,61%"
"18.04.2022","437,97","436,81","439,75","435,61","66,00M","0,04%"
"14.04.2022","437,79","443,55","444,73","437,68","97,87M","-1,25%"
"13.04.2022","443,31","438,03","444,11","437,84","74,07M","1,15%"
"12.04.2022","438,29","443,08","445,75","436,65","84,36M","-0,37%"
"11.04.2022","439,92","444,11","445,00","439,39","89,77M","-1,71%"
"08.04.2022","447,57","447,97","450,63","445,94","79,27M","-0,27%"
"07.04.2022","448,77","445,59","450,69","443,53","78,10M","0,50%"
"06.04.2022","446,52","446,89","448,93","443,47","106,90M","-1,00%"
"05.04.2022","451,03","455,22","457,83","449,82","74,21M","-1,26%"
"04.04.2022","456,80","453,13","456,91","452,26","59,60M","0,86%"
"01.04.2022","452,92","453,31","453,46","449,14","89,05M","0,28%"
"31.03.2022","451,64","457,89","458,76","451,16","121,70M","-1,54%"
"30.03.2022","458,70","460,34","461,19","456,46","79,67M","-0,62%"
"29.03.2022","461,55","460,02","462,07","457,18","86,58M","1,24%"
"28.03.2022","455,91","452,06","455,91","450,06","68,53M","0,71%"
"25.03.2022","452,69","451,16","452,98","448,43","77,10M","0,49%"
"24.03.2022","450,49","445,94","450,50","444,76","64,74M","1,51%"
"23.03.2022","443,80","446,91","448,49","443,71","79,43M","-1,29%"
"22.03.2022","449,59","445,86","450,58","445,86","74,65M","1,17%"
"21.03.2022","444,39","444,34","446,46","440,68","88,35M","-0,03%"
"18.03.2022","444,52","438,00","444,86","437,22","106,35M","0,78%"
"17.03.2022","441,07","433,59","441,07","433,19","102,68M","1,25%"
"16.03.2022","435,62","429,89","435,68","424,80","144,95M","2,22%"
"15.03.2022","426,17","419,77","426,84","418,42","106,22M","2,20%"
"14.03.2022","417,00","420,89","424,55","415,79","95,73M","-0,73%"
"11.03.2022","420,07","428,12","428,77","419,53","95,64M","-1,27%"
"10.03.2022","425,48","422,52","426,43","420,44","93,97M","-0,45%"
"09.03.2022","427,41","425,14","429,51","422,82","116,99M","2,68%"
"08.03.2022","416,25","419,62","427,21","415,12","164,77M","-0,76%"
"07.03.2022","419,43","431,55","432,30","419,36","137,90M","-2,95%"
"04.03.2022","432,17","431,75","433,37","427,88","114,08M","-0,81%"
"03.03.2022","435,71","440,47","441,11","433,80","105,50M","-0,50%"
"02.03.2022","437,89","432,37","439,72","431,57","117,73M","1,84%"
"01.03.2022","429,98","435,04","437,17","427,11","137,79M","-1,52%"
"28.02.2022","436,63","432,03","438,20","430,70","145,62M","-0,26%"
"25.02.2022","437,75","429,61","437,84","427,86","121,80M","2,21%"
"24.02.2022","428,30","411,02","428,76","410,64","213,94M","1,50%"
"23.02.2022","421,95","432,66","433,26","421,35","132,58M","-1,77%"
"22.02.2022","429,57","431,89","435,50","425,86","124,39M","-1,07%"
"18.02.2022","434,23","437,33","438,66","431,82","132,64M","-0,65%"
"17.02.2022","437,06","443,22","446,57","436,42","102,26M","-2,14%"
"16.02.2022","446,60","443,93","448,06","441,94","84,86M","0,11%"
"15.02.2022","446,10","443,73","446,28","443,18","88,66M","1,61%"
"14.02.2022","439,02","439,92","441,60","435,34","123,01M","-0,33%"
"11.02.2022","440,46","449,41","451,61","438,94","153,21M","-1,97%"
"10.02.2022","449,32","451,34","457,71","447,20","140,10M","-1,80%"
"09.02.2022","457,54","455,22","457,88","455,00","92,59M","1,46%"
"08.02.2022","450,94","446,73","451,92","445,22","81,01M","0,82%"
"07.02.2022","447,26","449,51","450,99","445,85","84,47M","-0,32%"
"04.02.2022","448,70","446,35","452,78","443,83","118,45M","0,47%"
"03.02.2022","446,60","450,95","452,97","445,71","118,02M","-2,35%"
"02.02.2022","457,35","455,50","458,12","453,05","117,36M","0,97%"
"01.02.2022","452,95","450,68","453,63","446,94","123,16M","0,68%"
"31.01.2022","449,91","441,24","450,28","439,81","152,25M","1,80%"
"28.01.2022","441,95","432,68","442,00","427,82","164,46M","2,48%"
"27.01.2022","431,24","438,26","441,59","429,45","149,88M","-0,49%"
"26.01.2022","433,38","440,72","444,04","428,86","186,39M","-0,25%"
"25.01.2022","434,47","433,06","439,72","427,15","168,00M","-1,22%"
"24.01.2022","439,84","432,03","440,38","420,76","252,50M","0,42%"
